   0 Microsoft Sound Mapper - Input, MME (2 in, 0 out)
>  1 Loopback L + R (Focusrite Usb A, MME (2 in, 0 out)
   2 Analogue 1 + 2 (Focusrite Usb A, MME (6 in, 0 out)
   3 Microphone (Steam Streaming Mic, MME (8 in, 0 out)
   4 Microphone (DroidCam Virtual Au, MME (1 in, 0 out)
   5 Analogue 3 + 4 (Focusrite Usb A, MME (2 in, 0 out)
   6 Microphone (HD Web Camera), MME (1 in, 0 out)
   7 VoiceMeeter Output (VB-Audio Vo, MME (8 in, 0 out)
   8 VoiceMeeter Aux Output (VB-Audi, MME (8 in, 0 out)
   9 Microsoft Sound Mapper - Output, MME (0 in, 2 out)
< 10 Speakers (Focusrite Usb Audio), MME (0 in, 4 out)
  11 Playback 3 + 4 (Focusrite Usb A, MME (0 in, 2 out)
  12 SPDIF Interface (Realtek USB2.0, MME (0 in, 8 out)
  13 Speakers (Steam Streaming Speak, MME (0 in, 8 out)
  14 VoiceMeeter Input (VB-Audio Voi, MME (0 in, 8 out)
  15 4 - BenQ GW2280 (3- AMD High De, MME (0 in, 2 out)
  16 VoiceMeeter Aux Input (VB-Audio, MME (0 in, 8 out)
  17 Speakers (Steam Streaming Micro, MME (0 in, 8 out)
  18 1 - LG ULTRAGEAR (3- AMD High D, MME (0 in, 2 out)
  19 Primary Sound Capture Driver, Windows DirectSound (2 in, 0 out)
  20 Loopback L + R (Focusrite Usb Audio), Windows DirectSound (2 in, 0 out)
  21 Analogue 1 + 2 (Focusrite Usb Audio), Windows DirectSound (6 in, 0 out)
  22 Microphone (Steam Streaming Microphone), Windows DirectSound (8 in, 0 out)
  23 Microphone (DroidCam Virtual Audio), Windows DirectSound (1 in, 0 out)
  24 Analogue 3 + 4 (Focusrite Usb Audio), Windows DirectSound (2 in, 0 out)
  25 Microphone (HD Web Camera), Windows DirectSound (1 in, 0 out)
  26 VoiceMeeter Output (VB-Audio VoiceMeeter VAIO), Windows DirectSound (8 in, 0 out)
  27 VoiceMeeter Aux Output (VB-Audio VoiceMeeter AUX VAIO), Windows DirectSound (8 in, 0 out)
  28 Primary Sound Driver, Windows DirectSound (0 in, 2 out)
  29 Speakers (Focusrite Usb Audio), Windows DirectSound (0 in, 4 out)
  30 Playback 3 + 4 (Focusrite Usb Audio), Windows DirectSound (0 in, 2 out)
  31 SPDIF Interface (Realtek USB2.0 Audio), Windows DirectSound (0 in, 8 out)
  32 Speakers (Steam Streaming Speakers), Windows DirectSound (0 in, 8 out)
  33 VoiceMeeter Input (VB-Audio VoiceMeeter VAIO), Windows DirectSound (0 in, 8 out)
  34 4 - BenQ GW2280 (3- AMD High Definition Audio Device), Windows DirectSound (0 in, 2 out)
  35 VoiceMeeter Aux Input (VB-Audio VoiceMeeter AUX VAIO), Windows DirectSound (0 in, 8 out)
  36 Speakers (Steam Streaming Microphone), Windows DirectSound (0 in, 8 out)
  37 1 - LG ULTRAGEAR (3- AMD High Definition Audio Device), Windows DirectSound (0 in, 2 out)
  38 Focusrite USB ASIO, ASIO (6 in, 4 out)
  39 Voicemeeter AUX Virtual ASIO, ASIO (8 in, 8 out)
  40 Voicemeeter Insert Virtual ASIO, ASIO (22 in, 22 out)
  41 Voicemeeter Virtual ASIO, ASIO (8 in, 8 out)
  42 Playback 3 + 4 (Focusrite Usb Audio), Windows WASAPI (0 in, 2 out)
  43 Speakers (Focusrite Usb Audio), Windows WASAPI (0 in, 2 out)
  44 SPDIF Interface (Realtek USB2.0 Audio), Windows WASAPI (0 in, 2 out)
  45 Speakers (Steam Streaming Speakers), Windows WASAPI (0 in, 2 out)
  46 VoiceMeeter Input (VB-Audio VoiceMeeter VAIO), Windows WASAPI (0 in, 2 out)
  47 4 - BenQ GW2280 (3- AMD High Definition Audio Device), Windows WASAPI (0 in, 2 out)
  48 VoiceMeeter Aux Input (VB-Audio VoiceMeeter AUX VAIO), Windows WASAPI (0 in, 2 out)
  49 Speakers (Steam Streaming Microphone), Windows WASAPI (0 in, 2 out)
  50 1 - LG ULTRAGEAR (3- AMD High Definition Audio Device), Windows WASAPI (0 in, 2 out)
  51 Analogue 1 + 2 (Focusrite Usb Audio), Windows WASAPI (2 in, 0 out)
  52 Loopback L + R (Focusrite Usb Audio), Windows WASAPI (2 in, 0 out)
  53 Microphone (Steam Streaming Microphone), Windows WASAPI (1 in, 0 out)
  54 Microphone (DroidCam Virtual Audio), Windows WASAPI (1 in, 0 out)
  55 Analogue 3 + 4 (Focusrite Usb Audio), Windows WASAPI (2 in, 0 out)
  56 Microphone (HD Web Camera), Windows WASAPI (1 in, 0 out)
  57 VoiceMeeter Output (VB-Audio VoiceMeeter VAIO), Windows WASAPI (2 in, 0 out)
  58 VoiceMeeter Aux Output (VB-Audio VoiceMeeter AUX VAIO), Windows WASAPI (2 in, 0 out)
  59 Speakers (fniusbwr4800), Windows WDM-KS (0 in, 4 out)
  60 Line Out (fniusbwr4801), Windows WDM-KS (0 in, 2 out)
  61 Analogue 1 + 2 (fniusbwc4800), Windows WDM-KS (6 in, 0 out)
  62 Analogue 3 + 4 (fniusbwc4801), Windows WDM-KS (2 in, 0 out)
  63 Loopback L + R (fniusbwc4802), Windows WDM-KS (2 in, 0 out)
  64 VoiceMeeter Aux Output (VoiceMeeter Aux vaio), Windows WDM-KS (8 in, 0 out)
  65 Speakers (VoiceMeeter Aux vaio), Windows WDM-KS (0 in, 8 out)
  66 Output (AMD HD Audio HDMI out #3), Windows WDM-KS (0 in, 2 out)
  67 Output (AMD HD Audio DP out #0), Windows WDM-KS (0 in, 2 out)
  68 Microphone (HD Web Camera), Windows WDM-KS (1 in, 0 out)
  69 Microphone (Steam Streaming Microphone Wave), Windows WDM-KS (8 in, 0 out)
  70 Speakers (Steam Streaming Microphone Wave), Windows WDM-KS (0 in, 8 out)
  71 Analog Connector (Realtek USB2.0 Audio), Windows WDM-KS (2 in, 0 out)
  72 Line (Realtek USB2.0 Audio), Windows WDM-KS (2 in, 0 out)
  73 Microphone (Realtek USB2.0 Audio), Windows WDM-KS (2 in, 0 out)
  74 Speakers (Realtek USB2.0 Audio), Windows WDM-KS (0 in, 8 out)
  75 Headphones (Realtek USB2.0 Audio), Windows WDM-KS (0 in, 2 out)
  76 SPDIF Out (Realtek USB2.0 Audio), Windows WDM-KS (0 in, 2 out)
  77 MIDI (DroidCam Audio), Windows WDM-KS (1 in, 0 out)
  78 Output (DroidCam Audio), Windows WDM-KS (0 in, 1 out)
  79 Input (Steam Streaming Speakers Wave), Windows WDM-KS (8 in, 0 out)
  80 Speakers (Steam Streaming Speakers Wave), Windows WDM-KS (0 in, 8 out)
  81 VoiceMeeter Output (VoiceMeeter vaio), Windows WDM-KS (8 in, 0 out)
  82 Speakers (VoiceMeeter vaio), Windows WDM-KS (0 in, 8 out)
